# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:10:46 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./data_pLUVs_POPC_OmpLA_PL600.dat
save-folder:	RES_POPC-PLUV600_01
qrange:	[0.005, 0.6]
model:	pLUV_POPC_OmpLA_RecBuf
temperature-init:	400
temperature-gain:	50
target-X2:	2.0
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	monomer
# -----------------------------------
q	I_data	I_err	I_fit
0.18579	3750.63	78.4709	3682.7706197801335
0.186316	3675.78	77.7277	3641.3149003547132
0.186841	3795.03	78.126	3600.115223599176
0.187366	3811.8	78.1767	3559.0974417881102
0.187892	3406.23	77.2847	3518.188704239728
0.188417	3443.35	77.8719	3477.549217096761
0.188943	3521.38	76.7938	3437.028744272179
0.189468	3380.18	76.8423	3396.7858347915458
0.189993	3530.63	76.8817	3356.7476464182164
0.190519	3231.42	76.1772	3316.8428059611592
0.191044	3265.76	76.4305	3277.227247850278
0.191569	3187.63	75.7062	3237.8290135797142
0.192095	3200.24	75.7588	3198.5777089736434
0.19262	3264.5	75.4719	3159.6265074045564
0.193145	3253.77	75.6347	3120.904404906268
0.193671	3057.68	75.1429	3082.3420511201366
0.194196	3033.17	75.1179	3044.0897222620447
0.194721	3081.17	74.9796	3006.07743587923
0.195247	2884.29	74.0338	2968.2369463551286
0.195772	3100.87	74.5655	2930.7155070348504
0.196297	2959.03	74.2341	2893.444220062778
0.196823	2795.61	73.6524	2856.3560015765156
0.197348	3006.72	73.765	2819.594966711744
0.197873	2676.74	72.8793	2783.0933613616926
0.198399	2779.08	73.1728	2746.7853164941444
0.198924	2729.87	72.7233	2710.811704031758
0.19945	2521.7	72.2216	2675.0382151795866
0.199975	2879.17	72.8746	2639.6035057466165
0.2005	2620.77	72.8552	2604.441848821529
0.201026	2495.66	74.588	2569.4895075928325
0.201551	2480.25	74.0507	2534.881742396624
0.202076	2396.48	75.1261	2500.5541084114275
0.202602	2395.25	75.3059	2466.444205908547
0.203127	2291.21	75.759	2432.683821891087
0.203652	2462.37	76.6918	2399.2098382032427
0.204178	2367.54	76.2919	2365.9612308329515
0.204703	2321.36	77.5058	2333.0662455336696
0.205228	2245.15	77.0415	2300.4631314252474
0.205754	2375.41	77.6026	2268.0922749540246
0.206279	2262.73	77.5662	2236.078322483534
0.206804	2037.52	77.1077	2204.360927078407
0.20733	2161.01	78.6841	2172.8819165326113
0.207855	2118.4	77.3874	2141.76228926569
0.20838	2062.07	78.0098	2110.9431350507357
0.208906	2147.82	77.9656	2080.3677501151465
0.209431	1930.39	78.1115	2050.1534457548582
0.209957	2012.98	79.3692	2020.1860949605184
0.210482	1859.64	77.4594	1990.5805329170453
0.211007	1908.52	78.7122	1961.2803065762912
0.211533	1802.15	77.7419	1932.2312099235442
0.212058	1983.72	76.422	1903.544345910642
0.212583	1923.39	75.854	1875.164766853478
0.213109	1856.58	74.2616	1847.039789278172
0.213634	1775.26	75.016	1819.2767685412316
0.214159	1659.72	73.8222	1791.8222812238653
0.214685	1761.93	73.5763	1764.625180094186
0.21521	1690.21	73.447	1737.7890659890827
0.215735	1645.1	72.6421	1711.2620550396036
0.216261	1631.65	73.1709	1684.9945464950633
0.216786	1607.89	71.836	1659.086387894165
0.217311	1602.82	71.9327	1633.487246670646
0.217837	1518.45	71.4088	1608.1490754262497
0.218362	1492.67	71.0101	1583.1679774634833
0.218887	1483.11	71.1998	1558.4951798320892
0.219413	1382.56	70.046	1534.0841920895944
0.219938	1464.96	70.1937	1510.0273898883213
0.220464	1450.36	69.9958	1486.2326196671488
0.220989	1425.33	70.3002	1462.7897839783116
0.221514	1242.45	69.4159	1439.6527190098493
0.22204	1426.71	69.5362	1416.7775290433822
0.222565	1240.48	69.5519	1394.2504324605256
0.22309	1293.63	68.99	1372.0268311865843
0.223616	1179.19	68.8772	1350.0643809106364
0.224141	1183.29	68.7333	1328.4456508767682
0.224666	1254.4	68.1777	1307.1276053355589
0.225192	1216.1	68.7691	1286.0694439460685
0.225717	1211.4	67.939	1265.3501281373838
0.226242	1167.51	68.513	1244.9281781406921
0.226768	1125.24	67.801	1224.7643274128861
0.227293	1087.45	68.1102	1204.9339768294178
0.227818	1073.37	67.694	1185.3971934464598
0.228344	1140.64	67.4208	1166.1162317369894
0.228869	916.53	68.0046	1147.162984868996
0.229395	1030.74	66.9282	1128.4637796492057
0.22992	1020.27	67.287	1110.0882020021716
0.230445	987.11	67.4195	1091.9988697641475
0.230971	1021.69	66.7761	1074.1605376631248
0.231496	863.47	67.1506	1056.6393834494493
0.232021	1048.68	66.3159	1039.399534584272
0.232547	781.69	66.7512	1022.4072209430963
0.233072	886.21	66.7129	1005.7252780986502
0.233597	948.21	66.1816	989.3193247656741
0.234123	839.31	66.3354	973.157044724742
0.234648	853.76	65.5391	957.2980016448847
0.235173	792.84	66.1771	941.7092849176215
0.235699	816.52	65.6819	926.3600089879875
0.236224	700.63	65.5894	911.3065398185299
